site,Shape_Leng,Shape_Area,System
Paonia Trib 1,0.587407301,75910890.21,NA
Yakima Trib 1,0.837777691,87821677.36,Yakima
Walker Trib,0.949629641,120510063.9,NA
Stateline,0.82851851,125607888.3,Bridger
Wallowa Lake,0.681906342,131506413,NA
Meeks Cabin Trib,0.842592592,131620683.8,NA
Costilla,0.636758093,142478034,Costilla
Yakima Trib 2,0.955370283,169087587.9,Yakima
Paonia Trib 2,1.045555362,169802682.2,NA
Scofield Right Trib,1.060925928,208751271.1,NA
Scofield Lower Trib,1.314259252,218407733.4,NA
Scofield Mid Trib,1.190185176,240680365.1,NA
Greenfields Trib,1.39425902,262771301.6,Sun
Scofield Upper Trib,1.983518538,263550192.7,Price
Meeks Cabin,2.064188128,376741144,Bridger
Scofield,2.288686665,404536068.3,Price
Umatilla Trib,2.023703722,498808317.9,NA
McKay,1.612772016,499941272,Umatilla
Bull Lake,1.844986344,542354469.8,Wind
Paonia,2.589629188,585383815.7,Paonia
Anthracite,2.927592094,605138677.7,NA
Costilla Upper,1.74685154,627666690.2,NA
Little Wood River,1.574475567,709329674.2,Little Wood
Topaz,5.108703719,877130873.5,Walker
Bridgeport,2.320339477,924264405.3,Walker
Umatilla,4.017962993,939518421.4,Umatilla
Succeess,1.722135239,1011438254,Success
Greenfields,2.544547575,1427530985,Sun
Terminus,2.108102503,1451257546,Kaweah
South Fork Trib,0,1625804527,Shoshone
Buffalo Bill,2.93294954,2207084151,Shoshone
Pilot Lake,8.694813272,4329480614,Wind
Isabella,8.496460655,5375661186,Kern
