site,System,Point,Staid
Site_1,Walker,Bridgeport,Bridgeport_Inflows
Site_2,Walker,Topaz,10296500
Site_4,Wind,BullLake,6224000
Site_5,Wind,PilotButte,
Site_6,Shoshone,BuffaloBill,Buffalo_Bill_Inflows
Site_7,Bridger,Meeks Cabin,Meeks_Cabin_Inflows
Site_8,Bridger,Stateline,Stateline_Inflows
Site_9,,Smith Fork,
Site_10,Costilla,Costilla,Costilla_Inflows
Site_11,Little Wood,Little Wood River,13147900
Site_12,,Wallowa Lake Dam,
Site_13,Umatilla,McKay,
Site_14,Umatilla,Umatilla,
Site_15,Umatilla,Cold Springs,
Site_16,Kern,Kern,
Site_17,Success,Success,
Site_18,Kaweah,Terminus,
Site_19,Kittitas,Keechelus,
Site_20,,CleElum,
Site_21,Kittitas,Kachess,Kachess_Inflows
Site_22,,Roza,
Site_23,,Tieton,
Site_24,,BumpingLake,BumpingLake_Inflows
Site_25,,Gila River,
Site_26,,San Simeon,
Site_27,,Lebanon,
Site_28,,Willow,Willow
Site_29,Sun,Gibson,Gibson_Inflows
Site_30,,Trinidad Dam,
Site_31,,Berwind Arroyo,
Site_32,Price,Scofield,Scofield_Inflows
Site_33,Price,WhiteCreek,9312600
Site_34,Price,WillowCreek,9312800
Site_35,,Terror Creek,
Site_36,,Hubbard Creek,
Site_37,Paonia,Paonia,
Site_38,,Anthracite,
Site_39,,Costilla Add,
Site_40,,Scofield_Add3,9312700
Site_41,,Scofield_Add2,
Site_42,,Stafford_Add1,
Site_43,,Scofield_Add1,
