,BoR.crop,Crop
1,AlfalfaHay,Alfalfa Hay
2,Baresoil,Bare Soil
37,Carrots,Carrots
7,Cotton,Cotton
3,Dormantturf/sod(wintertime),Dormant Turf
8,FieldCorn(moderatelengthedse,Field Corn
9,GardenVegetables(general),Garden Vegetables
10,Garlic,Garlic
11,Grapes,Grapes
12,GrassHay,Grass Hay
24,GrassPasture(HighManagement),Grass Pasture (High Management)
4,GrassPasture(LowManagement),Grass Pasture (Low Management)
34,Hops,Hops
13,LettuceFirstPlanting,Lettuce
31,Melons,Melons
39,Mint,Mint
5,Mulchedsoil/wheatstubble,Wheat Stubble
14,Nuts,Nuts
15,Olives,Olives
16,Onions,Onions
17,Oranges,Oranges
18,Orchards,Orchards
35,Orchards-ApplesandCherriesw,Orchards
19,Peas,Peas
25,Peppers,Peppers
26,Potatoes,Potatoes
30,Potatoes-baking(lateharvest),Potatoes
32,Rice,Rice
20,Safflower,Safflower
38,Sileage Corn,Sileage Corn
21,SnapandDryBeans,Snap and Dry Beans
36,SnapandDryBeans-seed,Snap and Dry Beans (seed)
27,SorghumAfterAnotherCrop,Sorghum
22,SpringGrain,Spring Grain
6,SpringGrain-Irrigated,Spring Grain
29,Sugarbeets,Sugar Beets
28,Sunflower,Sunflower
33,Tomatoes,Tomatoes
40,Turfgrass(lawns),Turf Grass
23,WinterGrain,Winter Grain
41,WinterGrain-Irrigated,Winter Grain
